Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Plane colors,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Seat comfort,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Female,Loyal Customer,35,Personal Travel,Eco,731,2,4,3,1,4,3,3,4,,5,1,5,2,18,1,neutral or dissatisfied
Female,Loyal Customer,35,Business travel,Unknown,354,2,3,3,3,3,3,3,2,3,3,1,3,3,0,0,neutral or dissatisfied
Male,disloyal Customer,43,Business travel,Eco,719,3,2,2,2,5,4,2,1,3,1,2,4,4,0,0,neutral or dissatisfied
Male,disloyal Customer,21,Business travel,Eco,772,1,2,2,2,2,2,2,3,3,3,3,5,2,11,7,neutral or dissatisfied
Male,Loyal Customer,39,Personal Travel,Eco,618,1,4,2,4,2,2,2,4,,3,3,5,2,0,0,neutral or dissatisfied
Male,Loyal Customer,17,Business travel,Unknown,396,2,1,5,4,3,1,3,5,3,1,1,3,1,3,6,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Unknown,909,3,4,5,5,5,3,5,3,,2,1,1,4,0,0,neutral or dissatisfied
Male,Loyal Customer,14,Personal Travel,Unknown,726,3,1,1,1,3,5,3,4,1,1,4,1,1,0,13,neutral or dissatisfied
Female,Loyal Customer,66,Business travel,Eco Plus,533,3,5,5,5,5,4,1,3,,4,3,5,1,0,0,satisfied
Female,Loyal Customer,38,Business travel,Business,3113,2,5,5,1,5,5,3,2,2,2,5,2,2,2,0,neutral or dissatisfied
Male,Loyal Customer,32,Business travel,Business,425,2,1,2,2,2,1,3,1,1,1,3,1,4,0,0,neutral or dissatisfied
Female,Loyal Customer,74,Business travel,Business,2696,3,3,3,3,1,2,1,3,4,2,1,4,1,11,,satisfied
Female,disloyal Customer,55,Business travel,Eco,202,2,3,1,1,1,1,5,2,2,1,3,2,1,0,3,neutral or dissatisfied
Male,Loyal Customer,60,Personal Travel,Eco,369,3,3,4,5,3,4,4,1,,3,4,3,4,0,,neutral or dissatisfied
Male,Loyal Customer,56,Personal Travel,Unknown,1090,3,3,5,5,5,1,1,4,,4,1,5,1,110,126,neutral or dissatisfied
Female,Loyal Customer,42,Business travel,Business,707,3,2,2,4,1,2,4,2,4,3,5,3,3,27,11,satisfied
Female,Loyal Customer,73,Personal Travel,Eco,733,2,5,4,5,4,5,5,5,1,2,2,5,5,3,0,satisfied
Female,disloyal Customer,37,Business travel,Eco,447,2,3,2,3,3,5,5,1,2,3,4,1,4,0,0,neutral or dissatisfied
Male,Loyal Customer,35,Business travel,Business,2108,3,0,4,0,3,4,3,5,2,2,1,5,3,2,0,satisfied
Male,Loyal Customer,78,Business travel,Eco Plus,317,3,1,2,2,2,1,1,3,3,4,1,3,1,4,,neutral or dissatisfied
Male,Loyal Customer,55,Business travel,Eco,299,1,1,2,3,2,3,1,1,,4,4,4,1,45,51,neutral or dissatisfied
Male,Loyal Customer,41,Personal Travel,Business,1189,1,3,5,3,3,4,5,1,5,5,5,5,5,0,8,neutral or dissatisfied
Female,Loyal Customer,58,Personal Travel,Eco,369,3,4,4,5,4,4,2,2,5,3,4,3,5,0,,neutral or dissatisfied
Male,Loyal Customer,8,Personal Travel,Eco,1464,1,4,2,4,1,2,5,4,,5,4,1,2,0,3,neutral or dissatisfied
Male,Loyal Customer,41,Business travel,Eco,411,3,4,1,1,1,4,4,4,2,3,3,3,4,78,66,neutral or dissatisfied
Male,Loyal Customer,17,Business travel,Eco,101,2,3,3,5,1,3,3,3,5,4,4,3,3,2,9,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,1671,3,2,3,4,3,2,2,5,3,3,2,4,2,175,171,neutral or dissatisfied
Female,Loyal Customer,77,Business travel,Business,1325,3,4,4,4,3,2,5,5,5,5,3,5,4,0,0,satisfied
Male,Loyal Customer,29,Personal Travel,Eco,248,3,4,4,1,4,3,5,4,4,4,3,4,3,11,0,neutral or dissatisfied
Female,disloyal Customer,25,Business travel,Eco,515,2,2,5,2,3,5,4,5,5,3,1,3,5,0,0,neutral or dissatisfied
Male,Loyal Customer,29,Business travel,Business,2342,1,4,4,4,5,2,4,5,1,5,3,5,3,0,0,satisfied
Female,Loyal Customer,50,Business travel,Business,678,3,3,2,2,2,3,2,2,,3,4,3,1,31,25,neutral or dissatisfied
Female,Loyal Customer,53,Business travel,Unknown,3860,3,1,1,1,1,4,4,5,1,5,5,5,3,35,27,satisfied
Female,Loyal Customer,42,Business travel,Business,2240,1,3,3,3,2,5,4,3,4,2,5,4,4,62,60,satisfied
Female,Loyal Customer,49,Business travel,Business,2322,1,3,3,3,3,2,4,4,3,4,3,4,3,0,0,satisfied
Female,disloyal Customer,75,Personal Travel,Eco,235,1,1,4,1,4,4,3,3,1,4,1,3,4,0,7,neutral or dissatisfied
Female,Loyal Customer,53,Business travel,Eco,2125,1,3,3,3,3,5,4,5,,2,4,4,4,0,0,satisfied
Female,Loyal Customer,41,Personal Travel,Eco,719,2,3,3,3,3,2,1,3,,2,2,3,2,0,0,neutral or dissatisfied
Female,Loyal Customer,55,Business travel,Business,2836,1,1,2,2,5,4,3,2,,1,2,4,4,19,20,neutral or dissatisfied
Male,Loyal Customer,21,Business travel,Eco,308,2,5,4,1,4,5,2,5,,1,5,3,5,0,0,satisfied
Male,Loyal Customer,46,Business travel,Unknown,337,1,1,4,4,1,1,1,2,,3,1,4,1,9,1,neutral or dissatisfied
Male,Loyal Customer,28,Personal Travel,Eco,862,2,1,1,1,1,5,5,4,,2,3,1,5,10,7,neutral or dissatisfied
Female,disloyal Customer,46,Business travel,Business,390,1,5,5,5,2,5,3,1,5,5,4,4,5,6,0,satisfied
Female,Loyal Customer,35,Business travel,Business,3487,2,1,3,1,1,4,4,5,,2,5,5,2,0,,satisfied
Male,Loyal Customer,27,Business travel,Eco Plus,657,2,0,0,0,1,5,5,3,1,2,3,2,5,0,0,satisfied
Female,disloyal Customer,39,Business travel,Unknown,102,3,1,4,4,4,1,1,4,4,3,3,4,1,0,0,neutral or dissatisfied
Male,Loyal Customer,24,Personal Travel,Eco,1222,1,2,5,3,2,4,5,5,,1,3,2,4,4,0,neutral or dissatisfied
Male,disloyal Customer,29,Business travel,Eco,468,1,4,0,4,3,2,2,4,,4,3,4,2,14,10,neutral or dissatisfied
Male,Loyal Customer,68,Business travel,Eco,342,2,2,2,1,3,5,4,3,,5,5,5,5,0,0,satisfied
Male,Loyal Customer,44,Personal Travel,Eco,369,3,4,5,4,2,1,4,1,,4,1,4,1,0,0,satisfied
Female,Loyal Customer,70,Business travel,Business,1638,2,1,1,1,1,3,4,5,,5,5,5,3,124,111,satisfied
Male,Loyal Customer,47,Business travel,Business,2202,3,4,3,4,4,5,5,3,5,2,2,2,5,0,0,satisfied
Female,Loyal Customer,46,Business travel,Business,2565,3,2,2,2,2,5,5,2,4,5,5,4,5,0,0,satisfied
Female,Loyal Customer,36,Business travel,Eco Plus,209,3,3,1,5,5,3,3,3,3,3,2,3,3,0,19,neutral or dissatisfied
Male,Loyal Customer,24,Personal Travel,Eco,166,2,4,3,2,5,2,4,4,,4,3,4,2,0,0,neutral or dissatisfied
Female,Loyal Customer,27,Personal Travel,Eco,666,3,1,4,1,5,2,4,1,1,5,5,5,2,9,94,neutral or dissatisfied
Male,Loyal Customer,46,Business travel,Eco,152,1,3,4,4,4,3,1,2,,3,2,2,3,3,0,neutral or dissatisfied
Female,Loyal Customer,56,Personal Travel,Eco,599,2,1,3,1,4,1,3,3,,4,5,3,4,0,0,neutral or dissatisfied
Male,Loyal Customer,35,Business travel,Eco,192,3,4,5,4,4,1,5,4,,4,2,4,3,0,0,satisfied
Female,Loyal Customer,46,Business travel,Unknown,1900,1,1,5,2,2,3,3,1,1,1,3,1,1,0,0,neutral or dissatisfied
Female,Loyal Customer,68,Business travel,Business,3844,2,1,4,1,2,4,4,3,,1,3,3,2,0,0,neutral or dissatisfied
Female,Loyal Customer,48,Business travel,Eco,372,2,2,2,2,2,2,3,2,,1,2,2,2,155,148,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Eco,689,1,2,4,3,4,2,2,1,4,3,5,4,2,14,0,neutral or dissatisfied
Female,Loyal Customer,10,Personal Travel,Unknown,228,3,1,2,2,1,3,3,3,1,4,4,4,3,31,,neutral or dissatisfied
Male,Loyal Customer,41,Personal Travel,Eco Plus,748,1,4,4,1,2,5,1,1,5,1,3,4,3,0,0,neutral or dissatisfied
Female,Loyal Customer,60,Business travel,Business,416,1,5,5,5,5,4,5,4,2,5,5,4,4,0,0,satisfied
Male,Loyal Customer,51,Business travel,Unknown,3267,3,1,1,1,1,5,4,5,5,5,5,5,4,0,,satisfied
Male,Loyal Customer,48,Personal Travel,Eco,694,2,3,5,3,3,5,4,2,,4,5,5,4,0,9,neutral or dissatisfied
Male,Loyal Customer,67,Personal Travel,Eco,399,3,2,4,2,3,3,3,5,,5,2,3,3,65,55,neutral or dissatisfied
Male,Loyal Customer,14,Personal Travel,Business,425,2,2,3,5,1,1,2,4,5,4,3,5,3,3,20,neutral or dissatisfied
Male,Loyal Customer,41,Personal Travel,Eco,1222,1,1,0,1,1,2,2,2,3,5,2,4,2,0,0,neutral or dissatisfied
Female,Loyal Customer,47,Personal Travel,Eco,1185,3,3,4,5,3,4,2,4,1,2,3,2,2,0,0,neutral or dissatisfied
Male,Loyal Customer,26,Business travel,Business,2607,1,3,4,4,4,3,3,3,5,3,1,3,2,0,0,neutral or dissatisfied
Male,Loyal Customer,25,Personal Travel,Eco,371,2,0,4,1,3,4,1,1,,4,2,3,4,6,0,satisfied
Male,Loyal Customer,18,Personal Travel,Eco,368,1,2,4,1,4,5,4,5,1,2,4,1,2,0,,neutral or dissatisfied
Male,Loyal Customer,62,Personal Travel,Business,1023,2,3,4,4,3,3,3,1,,1,5,1,2,0,0,neutral or dissatisfied
Female,Loyal Customer,49,Business travel,Business,2886,3,4,4,4,4,2,5,5,5,5,4,5,5,5,3,satisfied
Female,Loyal Customer,20,Personal Travel,Eco,273,1,1,0,1,2,5,5,4,4,1,3,4,5,0,0,neutral or dissatisfied
Female,Loyal Customer,25,Personal Travel,Eco,783,2,1,2,2,4,5,5,3,3,4,3,4,5,0,14,neutral or dissatisfied
Male,disloyal Customer,28,Business travel,Business,1205,2,1,1,1,1,4,4,2,,5,4,5,4,14,14,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Business,2042,3,1,4,4,1,4,1,5,,3,5,4,5,6,3,satisfied
Male,Loyal Customer,36,Personal Travel,Unknown,680,2,4,4,4,2,3,3,5,5,4,4,5,3,14,6,neutral or dissatisfied
Male,Loyal Customer,44,Business travel,Business,1569,3,2,2,2,2,2,4,4,,5,3,4,4,0,0,satisfied
Female,Loyal Customer,51,Personal Travel,Eco,338,2,3,5,3,1,5,5,1,,1,4,2,3,0,0,neutral or dissatisfied
Female,disloyal Customer,26,Business travel,Eco,872,2,3,5,3,2,5,1,4,1,3,1,3,5,0,,neutral or dissatisfied
Female,Loyal Customer,23,Personal Travel,Eco,184,1,1,2,1,4,5,5,1,4,3,1,1,5,0,0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Business,1975,1,5,5,2,5,5,5,5,5,4,4,4,5,119,104,satisfied
Female,disloyal Customer,37,Business travel,Eco,150,1,3,1,3,2,4,1,1,3,3,1,4,4,4,0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Eco,1617,2,4,5,5,5,3,3,5,1,5,5,3,3,0,0,satisfied
Male,Loyal Customer,32,Personal Travel,Eco,838,1,2,5,3,4,1,3,3,,4,5,5,3,0,0,neutral or dissatisfied
Female,Loyal Customer,68,Personal Travel,Eco,259,1,4,4,0,4,3,5,2,0,1,5,2,1,0,0,neutral or dissatisfied
Male,Loyal Customer,44,Business travel,Unknown,158,1,2,3,3,3,2,2,4,3,4,2,4,2,0,0,satisfied
Male,Loyal Customer,48,Business travel,Eco,2504,3,4,4,2,4,4,4,2,5,4,4,2,4,0,12,satisfied
Male,Loyal Customer,74,Business travel,Business,2895,1,1,1,1,1,4,4,4,4,4,4,4,3,0,2,satisfied
Female,Loyal Customer,68,Business travel,Business,2142,1,4,4,2,4,5,5,4,,4,3,4,3,0,2,satisfied
Male,Loyal Customer,9,Personal Travel,Eco Plus,1671,3,3,3,3,2,4,4,1,,1,2,5,4,0,0,neutral or dissatisfied
